Area,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,FO_LandOwnType,County,RegUseRestriction,Industrial_Restriction,DistrictCode,Month_ReportDate
EOA,A,0.25,0.25,Human,Industrial,Klamath,Outside Closed Fire Season,Does Not Apply - Eastern OR,98,5
SOA,A,0.1,0.1,Human,Small Woodlands,Coos,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,6
SOA,A,0.1,0.1,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
SOA,A,0.1,0.1,Human,Industrial,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,7
EOA,B,5,5,Human,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,9
SOA,A,0.1,0,Human,Rural Residential,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,4
NOA,A,0.1,0.1,Human,Other Private,Yamhill,Reg Use Closure,Lvl 1 Fire Season Only,53,7
EOA,A,0,0,Human,Rural Residential,Klamath,Reg Use Closure,Lvl 1 Fire Season Only,99,7
NOA,B,1.5,1.5,Human,Rural Residential,Clackamas,Outside Closed Fire Season,Outside Closed Fire Season,58,3
SOA,A,0.01,0.01,Human,BLM,Coos,Reg Use Closure,Lvl 1 Fire Season Only,72,7
EOA,A,0.02,0.02,Human,Small Woodlands,Wasco,Outside Closed Fire Season,Outside Closed Fire Season,95,3
SOA,A,0.01,0.01,Human,Industrial,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,11
SOA,A,0.01,0.01,Human,Other Private,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
SOA,A,0.01,0.01,Human,County,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.02,0.02,Human,Small Woodlands,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,A,0.1,0.1,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 1 Fire Season Only,73,7
SOA,A,0.19,0.19,Human,Other Private,Linn,Outside Closed Fire Season,Outside Closed Fire Season,77,4
SOA,A,0.25,0.25,Human,Rural Residential,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,6
SOA,B,0.5,0.5,Lightning,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
SOA,A,0.01,0.01,Human,BLM,Josephine,Reg Use Closure,Lvl 1 Fire Season Only,71,10
SOA,B,0.5,0.5,Lightning,BLM,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,9
SOA,A,0.1,0.1,Lightning,BLM,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.1,0.1,Human,Agriculture,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,6
SOA,A,0.1,0.1,Human,Industrial,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,A,0.01,0.01,Human,Other Private,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.1,0.1,Human,State,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,7
EOA,A,0.01,0.01,Human,County,Hood River,Reg Use Closure,Lvl 2 Limited Shutdown,95,8
SOA,D,118,118,Lightning,USFS,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,7
EOA,A,0.01,0.01,Lightning,Rural Residential,Deschutes,Reg Use Closure,Does Not Apply - Eastern OR,95,7
NOA,A,0.02,0.02,Human,Industrial,Lincoln,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,55,7
SOA,A,0.1,0.1,Human,Rural Residential,Douglas,Outside Closed Fire Season,Outside Closed Fire Season,73,3
SOA,A,0.02,0.02,Human,Industrial,Linn,Outside Closed Fire Season,Outside Closed Fire Season,77,11
NOA,A,0.01,0.01,Human,Industrial,Tillamook,Reg Use Closure,Lvl 2 Limited Shutdown,51,9
SOA,A,0.01,0.01,Human,County,Lane,Reg Use Closure,Lvl 3 Restricted Shutdown,77,8
NOA,A,0.25,0.25,Human,Industrial,Polk,Outside Closed Fire Season,Outside Closed Fire Season,55,4
EOA,C,75,75,Lightning,Industrial,Union,Reg Use Closure,Does Not Apply - Eastern OR,97,8
SOA,A,0.17,0.17,Human,Other Private,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
NOA,A,0.01,0.01,Human,BLM,Clackamas,Outside Closed Fire Season,Outside Closed Fire Season,58,6
SOA,A,0.1,0.1,Human,Other Private,Lane,Reg Use Closure,Lvl 1 Fire Season Only,77,8
NOA,A,0.01,0.01,Human,Other Private,Benton,Reg Use Closure,Lvl 1 Fire Season Only,55,7
EOA,B,4.4,4.4,Lightning,USFS,Crook,Outside Closed Fire Season,Does Not Apply - Eastern OR,95,5
SOA,A,0.01,0.01,Human,Ocean Shores,Coos,Reg Use Closure,Lvl 1 Fire Season Only,72,7
